car_id,car_name,brand,model,variant,price_ex_showroom_lakh,price_on_road_lakh,min_price_lakh,max_price_lakh,battery_capacity_kwh,claimed_range_km,real_world_range_km,charging_time_ac_hours,charging_time_dc_minutes,fast_charging_available,motor_power_kw,torque_nm,top_speed_kmph,acceleration_0_100_sec,body_type,segment,seating_capacity,boot_space_litres,ground_clearance_mm,safety_rating,airbags,transmission,drive_type,warranty_years,battery_warranty_years,battery_warranty_km,home_charging_supported,pros,cons,source_url,last_updated
EV001,Tata Nexon EV,Tata,Nexon EV,Empowered Plus Long Range,Rs. 19.49 Lakh,Rs. 20.50 Lakh,Rs. 14.49 Lakh,Rs. 19.49 Lakh,40.5 kWh,465 km,330 km,6.0,56.0,Yes,106.4 kW,215 Nm,120,8.9,SUV,Compact SUV,5,350,205,5,6,Automatic,FWD,3,8,160000,Yes,"Feature-rich, comfortable ride, 5-star safety rating, good real-world range","Fit and finish could be better, high speed highway efficiency drops",https://www.tatamotors.com/nexon-ev,2024-05-01
EV002,MG ZS EV,MG,ZS EV,Exclusive Pro,Rs. 24.98 Lakh,Rs. 26.50 Lakh,Rs. 18.98 Lakh,Rs. 24.98 Lakh,50.3 kWh,461 km,340 km,9.0,60.0,Yes,130.0 kW,280 Nm,140,8.5,SUV,Mid-size SUV,5,470,190,5,6,Automatic,FWD,5,8,150000,Yes,"Premium interiors, punchy performance, spacious, Level 2 ADAS","Outdated infotainment system, suspension is slightly bouncy",https://www.mgmotor.co.in/vehicles/mgzsev,2024-05-01
EV003,Tata Punch EV,Tata,Punch EV,Empowered Plus S Long Range,Rs. 15.49 Lakh,Rs. 16.50 Lakh,Rs. 10.99 Lakh,Rs. 15.49 Lakh,35.0 kWh,421 km,300 km,5.0,56.0,Yes,90.0 kW,190 Nm,140,9.5,SUV,Micro SUV,5,366,190,5,6,Automatic,FWD,3,8,160000,Yes,"Great features, solid build quality, frunk available, good ground clearance","Rear seat space is tight, somewhat noisy suspension",https://ev.tatamotors.com/punchev.html,2024-05-01
EV004,Mahindra XUV400 EV,Mahindra,XUV400,EL Pro 39.4 kWh,Rs. 17.49 Lakh,Rs. 18.60 Lakh,Rs. 15.49 Lakh,Rs. 17.49 Lakh,39.4 kWh,456 km,310 km,6.5,50.0,Yes,110.0 kW,310 Nm,150,8.3,SUV,Compact SUV,5,378,200,4,6,Automatic,FWD,3,8,160000,Yes,"Fast acceleration, very spacious cabin, comfortable ride","Lacks some modern features compared to Nexon EV, interior looks dated",https://auto.mahindra.com/suv/xuv400,2024-05-01
EV005,BYD Atto 3,BYD,Atto 3,Extended Range,Rs. 33.99 Lakh,Rs. 35.80 Lakh,Rs. 33.99 Lakh,Rs. 34.49 Lakh,60.48 kWh,521 km,420 km,10.0,50.0,Yes,150.0 kW,310 Nm,160,7.3,SUV,Mid-size SUV,5,440,175,5,7,Automatic,FWD,6,8,160000,Yes,"Exceptional battery tech (Blade Battery), very long range, quirky but premium interiors","Polarizing interior design, brand network is still growing",https://bydautoindia.com/byd-atto3,2024-05-01
EV006,Tata Tiago EV,Tata,Tiago EV,XZ Plus Tech LUX Long Range,Rs. 11.49 Lakh,Rs. 12.10 Lakh,Rs. 7.99 Lakh,Rs. 11.49 Lakh,24.0 kWh,315 km,220 km,3.6,58.0,Yes,55.0 kW,114 Nm,120,11.5,Hatchback,Entry Hatchback,5,240,166,4,2,Automatic,FWD,3,8,160000,Yes,"Very affordable, great for city commutes, easy to drive","Low highway range, basic features, limited boot space",https://ev.tatamotors.com/tiagoev.html,2024-05-01
EV007,MG Comet EV,MG,Comet EV,Exclusive,Rs. 9.14 Lakh,Rs. 9.50 Lakh,Rs. 6.99 Lakh,Rs. 9.14 Lakh,17.3 kWh,230 km,180 km,7.0,None,No,31.2 kW,110 Nm,100,15.0,Hatchback,Micro Hatchback,4,0,165,0,2,Automatic,RWD,3,8,120000,Yes,"Extremely compact for city traffic, high-quality dual screens, extremely cheap to run","No fast charging, tiny wheels, basically 0 boot space with rear seats up",https://www.mgmotor.co.in/vehicles/mgcometev,2024-05-01
EV008,Hyundai Ioniq 5,Hyundai,Ioniq 5,RWD,Rs. 45.95 Lakh,Rs. 48.20 Lakh,Rs. 45.95 Lakh,Rs. 45.95 Lakh,72.6 kWh,631 km,480 km,7.0,18.0,Yes,160.0 kW,350 Nm,185,7.6,SUV,Premium SUV,5,527,163,5,6,Automatic,RWD,3,8,160000,Yes,"Stunning retro-futuristic design, 800V architecture for ultra-fast charging, extremely spacious","Expensive, rear visibility is limited, ground clearance is low for an SUV",https://www.hyundai.com/in/en/find-a-car/ioniq5/highlights.html,2024-05-01
EV009,Kia EV6,Kia,EV6,GT Line AWD,Rs. 65.95 Lakh,Rs. 69.50 Lakh,Rs. 60.95 Lakh,Rs. 65.95 Lakh,77.4 kWh,708 km,500 km,7.3,18.0,Yes,239.0 kW,605 Nm,192,5.2,Crossover,Premium Crossover,5,490,155,5,8,Automatic,AWD,3,8,160000,Yes,"Thrilling performance, incredibly fast charging, sporty and sharp design","Very expensive, low ground clearance, rear headroom is a bit tight",https://www.kia.com/in/our-vehicles/ev6/showroom.html,2024-05-01
EV010,Citroen eC3,Citroen,eC3,Shine,Rs. 13.50 Lakh,Rs. 14.20 Lakh,Rs. 11.61 Lakh,Rs. 13.50 Lakh,29.2 kWh,320 km,240 km,10.5,57.0,Yes,42.0 kW,143 Nm,107,13.5,Hatchback,Premium Hatchback,5,315,170,0,2,Automatic,FWD,3,7,140000,Yes,"Very comfortable ride quality, spacious interior, good boot space","Basic interior quality, misses out on many modern features, poor safety rating",https://www.citroen.in/models/e-c3,2024-05-01
