Brand,Model,Status,Price_Lakh_Min,Price_Lakh_Max,Price_Text,Range_km,Range_km_Min,Range_km_Max,Range_Text,Battery_capacity_kWh,Battery_capacity_kWh_Min,Battery_capacity_kWh_Max,Battery_Text,Charging_time,Body_Type,Fast_Charging,Seats,Safety_Rating,Useful_Features,Variants_Count,Image_URL,Image_Source_URL,Source_URL,Data_Source,Data_Collected_Date,Notes
Vayve Mobility,Eva,Pre-booking / India-focused solar EV,3.25,4.49,Rs. 3.25 - 4.49 Lakh,250,125,250,125 to 250 km real range,18,9,18,9 to 18 kWh,AC charging listed; top Vega supports CCS2 fast charging,Compact,Yes,3,,Solar integration; CCS2 fast charging; TPMS; driver airbag; reverse camera; Apple CarPlay/Android Auto,3,https://evayve.com/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Feva-hero.95ff4c47.png&w=3840&q=75,https://evayve.com/eva?pricing=1,https://evayve.com/eva?pricing=1,Vayve official page,2026-07-11,Added from user sample and verified against Vayve official pricing/spec page.
Tata,Tiago EV,On sale / listed by CarWale,5.84,9.99,Rs. 5.84 - 9.99 Lakh,215,170,215,170 to 215 km,24,19.2,24,19.2 to 24 kWh,Charging Time (AC Fast Charger) 10-100 % : 3 hrs 30 / Charging Time (AC Fast Charger) 10-100 % : 2 hrs 36,Hatchback,Yes,5,,High-beam Assist; Hill Hold Control; Traction Control; TPMS; Wireless Charger; Voice Command; Cruise Control; Automatic Headlamps,4,https://imgd.aeplcdn.com/664x374/n/cw/ec/218950/next-gen-tiago-ev-exterior-right-front-three-quarter-36.png?isig=0&q=80,https://www.carwale.com/tata-cars/tiago-ev/,https://www.carwale.com/tata-cars/tiago-ev/,CarWale listing and model page,2026-07-11,
MG,Comet EV,On sale / listed by CarWale,6.31,8.82,Rs. 6.31 - 8.82 Lakh,230,230,230,230 km,17.4,17.3,17.4,17.3 to 17.4 kWh,,Hatchback,Yes,4,,Hill Hold Control; TPMS; Voice Command; Cruise Control; Airbags,6,https://imgd.aeplcdn.com/664x374/n/cw/ec/125193/comet-ev-exterior-right-front-three-quarter-31.png?isig=0&q=80,https://www.carwale.com/mg-cars/comet-ev/,https://www.carwale.com/mg-cars/comet-ev/,CarWale listing and model page,2026-07-11,
Tata,Punch EV,On sale / listed by CarWale,8.09,12.79,Rs. 8.09 - 12.79 Lakh,468,355,468,355 to 468 km,40,30,40,30 to 40 kWh,Charging Time (AC Fast Charger) 10-100 % : 5 hrs 18 / Charging Time (AC Fast Charger) 10-100 % : 4 hrs 30,SUV,Yes,5,5 Star (Bharat NCAP),High-beam Assist; Hill Hold Control; Traction Control; Wireless Charger; Ventilated Seats; Voice Command; Cruise Control; Automatic Headlamps,6,https://imgd.aeplcdn.com/664x374/n/cw/ec/217141/punch-ev-exterior-right-front-three-quarter-327.png?isig=0&q=80,https://www.carwale.com/tata-cars/punch-ev/,https://www.carwale.com/tata-cars/punch-ev/,CarWale listing and model page,2026-07-11,
Citroen,eC3 X,On sale / listed by CarWale,9.45,10.79,Rs. 9.45 - 10.79 Lakh,320,320,320,320 km,29.2,29.2,29.2,29.2 kWh,Charging Time (AC Fast Charger) 10-100 % : 10 hrs 30 / Charging Time (DC Fast Charger) 10-80 % : 57 mins,Hatchback,Yes,5,,Wireless Charger; Voice Command; Cruise Control; Airbags,3,https://imgd.aeplcdn.com/664x374/n/cw/ec/172911/ec3-facelift-exterior-right-front-three-quarter-9.png?isig=0&q=80,https://www.carwale.com/citroen-cars/ec3-x/,https://www.carwale.com/citroen-cars/ec3-x/,CarWale listing and model page,2026-07-11,
MG,Windsor EV,On sale / listed by CarWale,12.04,16.1,Rs. 12.04 - 16.10 Lakh,449,331,449,331 to 449 km,52.9,38,52.9,38 to 52.9 kWh,Charging Time (AC Fast Charger) 10-100 % : 9 hrs 30,MUV/MPV,Yes,5,,ADAS; Hill Hold Control; Traction Control; TPMS; Wireless Charger; Panoramic Sunroof; Voice Command; Cruise Control,6,https://imgd.aeplcdn.com/664x374/n/cw/ec/174611/windsor-ev-exterior-right-front-three-quarter-84.png?isig=0&q=80,https://www.carwale.com/mg-cars/windsor-ev/,https://www.carwale.com/mg-cars/windsor-ev/,CarWale listing and model page,2026-07-11,
Tata,Nexon EV,On sale / listed by CarWale,12.49,17.69,Rs. 12.49 - 17.69 Lakh,489,325,489,325 to 489 km,45,30,45,30 to 45 kWh,Charging Time (AC Fast Charger) 10-100 % : 4 hrs 18 / Charging Time (AC Fast Charger) 10-100 % : 6 hrs 36,SUV,Yes,5,5 Star (Bharat NCAP),ADAS; Blind Spot Detection; High-beam Assist; Hill Hold Control; Traction Control; TPMS; Wireless Charger; Panoramic Sunroof,8,https://imgd.aeplcdn.com/664x374/n/cw/ec/149123/nexon-ev-exterior-right-front-three-quarter-80.png?isig=0&q=80,https://www.carwale.com/tata-cars/nexon-ev/,https://www.carwale.com/tata-cars/nexon-ev/,CarWale listing and model page,2026-07-11,
Tata,Tigor EV,On sale / listed by CarWale,12.49,13.75,Rs. 12.49 - 13.75 Lakh,315,315,315,315 km,26,26,26,26 kWh,,Sedan,Unknown,5,,ADAS; Hill Hold Control; Voice Command; Cruise Control; Automatic Headlamps; Airbags; Apple CarPlay; Android Auto,4,https://imgd.aeplcdn.com/664x374/n/cw/ec/135723/tigor-ev-exterior-right-front-three-quarter-4.png?isig=0&q=80,https://www.carwale.com/tata-cars/tigor-ev/,https://www.carwale.com/tata-cars/tigor-ev/,CarWale listing and model page,2026-07-11,
Maruti Suzuki,e Vitara,On sale / listed by CarWale,13.49,17.46,Rs. 13.49 - 17.46 Lakh,543,440,543,440 to 543 km,61,49,61,49 to 61 kWh,"Charging Time (AC Fast Charger) 10-100 % : 9 hrs, 7.4 / Charging Time (AC Fast Charger) 10-100 % : 6 hrs 30",SUV,Yes,5,5 Star (Bharat NCAP),ADAS; Blind Spot Detection; Hill Hold Control; Traction Control; TPMS; Wireless Charger; Panoramic Sunroof; Voice Command,4,https://imgd.aeplcdn.com/664x374/n/cw/ec/139269/e-vitara-exterior-right-front-three-quarter-5.png?isig=0&q=80,https://www.carwale.com/maruti-suzuki-cars/e-vitara/,https://www.carwale.com/maruti-suzuki-cars/e-vitara/,CarWale listing and model page,2026-07-11,
Mahindra,XUV 3XO EV,On sale / listed by CarWale,13.89,15.46,Rs. 13.89 - 15.46 Lakh,456,456,456,456 km,39.4,39.4,39.4,39.4 kWh,"Charging Time (DC Fast Charger) 0-80 % : 50 mins, 50 / DC fast charger can juice it up from zero to 80% in just 50 min",SUV,Yes,5,,ADAS; Traction Control; TPMS; Wireless Charger; Panoramic Sunroof; Cruise Control; Automatic Headlamps; AWD,4,https://imgd.aeplcdn.com/664x374/n/cw/ec/184409/xuv-3xo-ev-exterior-right-front-three-quarter-3.png?isig=0&q=80,https://www.carwale.com/mahindra-cars/xuv-3xo-ev/,https://www.carwale.com/mahindra-cars/xuv-3xo-ev/,CarWale listing and model page,2026-07-11,Required app fields completed from model/spec references.
